ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,
state,int,main,(,),{,},id,[,],",",;,=,if,else,while,||,&&,Q',==,!=,<,<=,>,>=,+,-,*,/,bool,float,char,z,b,f,c,$,P,D,D',D*,S,S',ASS,IF,WL,EXP,C,Q,QOP,R,ROP,ADD,AOP,TERM,MOP,FAC,T,LIT
62,,,r28,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,
63,,,r29,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,
64,,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,
65,,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,
66,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,,,,,,,82,,41,,42,,44
67,,,r34,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,
68,,,r35,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,
69,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,,,,,,,,,83,,42,,44
70,,,r38,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,
71,,,r39,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,
72,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,84,37,38,,39,,40,,41,,42,,44
73,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,s17,,s18,,,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,87,13,14,15,16,,,,,,,,,,,,,
76,,,,,s17,,s18,,,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,88,13,14,15,16,,,,,,,,,,,,,
77,,,,,,,,,,s33,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,
78,,,,r19,,,,,r19,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,r21,,,,,r21,,r21,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,r23,,,,,r23,,r23,,,,,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,r27,,,,,r27,,r27,,,,,r27,r27,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,r33,,,,,r33,,r33,,,,,r33,r33,,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,r37,,,,,r37,,r37,,,,,r37,r37,,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,r43,,,,,r43,,r43,,,,,r43,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,s45,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,s46,s47,s48,s49,,,,,,,,,,,91,37,38,,39,,40,,41,,42,,44
87,,,,,r15,r15,r15,s92,r15,,,,r15,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,r17,r17,r17,r17,r17,,,,r17,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,r4,,,,r4,,r4,,,,,,r4,,r4,,,,,,,,,,,,,,r4,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,r41,,,,,r41,,r41,,,,,r41,r41,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,r14,r14,r14,r14,r14,,,,r14,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,s17,,s18,,,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,95,13,14,15,16,,,,,,,,,,,,,
95,,,,,,,,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,r16,r16,r16,r16,r16,,,,r16,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
